,frame,time_ms,time_us,rpm,vss,gear,ptank,map,bp,bp_cmd,tpedal,tplate,afm_v,afm_hz,afm,afm_c,airc,egr,iat,iat2,ect,ect2,pa,oil_press,cvt_temp,inj,inj_bank_2,duty,difp,difpcmd,fuelp,ign,cam,camcmd,excam,excamcmd,wg,wgcmd,vts,svs,purge,accl,bc_duty,af,af_bank_2,af_corr,wide_v,wide,afcmd,afcmd_bank_2,s_trim,l_trim,s_trim_bank_2,l_trim_bank_2,trim,fuel_status,fuel_status_bank_2,ethanol,k_level,k_retard,k_retard_1,k_retard_2,k_retard_3,k_retard_4,k_control,ign_limit,k_count,k_count_1,k_count_2,k_count_3,k_count_4,k_count_5,k_count_6,bat,cat_t,abs_lf,abs_rf,abs_lr,abs_rr,clutch_pos,brake_press,steer_ang,steer_trq,g_lat,g_long,g_z,yaw,eco,fuel_used,tc_v,tc_ecuslip,tc_r,tc_lf,tc_rf,tc_lr,tc_rr,tc_slip,tc_turn,tc_overslip,tc_out
10,10,93,93994,1977,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,83,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,748.39,762.61,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.9,32.5413,32.5848,32.4916,32.4916,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,95,95001,1977,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,83,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,748.39,762.61,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.9,32.5413,32.5848,32.4916,32.4916,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,96,96008,1977,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,83,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,748.39,762.61,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.9,32.4854,32.5164,32.4916,32.4667,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,97,97015,1977,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,83,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,748.39,762.61,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.9,32.4854,32.5164,32.4916,32.4667,0,0.71,0,0,-0.02,-0.06,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,119,119995,1977,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,748.39,762.61,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.9,32.4854,32.5164,32.4916,32.4667,0,0.71,0,0,-0.02,-0.06,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,140,140075,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.82,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.8,32.4854,32.5164,32.4916,32.4667,0,0.71,0,0,-0.02,-0.06,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,141,141021,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.82,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.8,32.4854,32.5164,32.4916,32.4667,9,0.71,0,0,-0.02,-0.06,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,141,141998,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.82,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.8,32.4854,32.5164,32.4916,32.4667,9,0.71,0,0,-0.02,-0.06,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,143,143005,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.82,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.8,32.4854,32.5164,32.4916,32.4667,9,0.71,0,0,-0.02,-0.06,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,144,144012,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.82,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.8,32.3735,32.3859,32.3425,32.4667,9,0.71,0,0,-0.02,-0.06,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,145,145019,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.82,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.8,32.3735,32.3859,32.3425,32.4667,9,0.71,0,0,-0.01,-0.055,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,170,170013,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.82,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.8,32.3735,32.3859,32.3425,32.4667,9,0.71,0,0,-0.01,-0.055,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,193,193878,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.6,32.3735,32.3859,32.3425,32.4667,9,0.71,0,0,-0.01,-0.055,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,195,195007,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.6,32.3735,32.3859,32.3425,32.4667,27,0.71,0,0,-0.01,-0.055,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,196,196014,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.6,32.3735,32.3859,32.3425,32.4667,27,0.71,0,0,-0.01,-0.055,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,197,197021,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.6,32.3735,32.3859,32.3425,32.4667,27,0.71,0,0,-0.01,-0.055,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,203,203002,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.6,32.3859,32.4419,32.3487,32.33,27,0.71,0,0,-0.01,-0.055,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,204,204010,1977,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.55,84,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.6,32.3859,32.4419,32.3487,32.33,27,0.71,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,230,230072,1977,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.6,32.3859,32.4419,32.3487,32.33,27,0.71,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,253,253662,1977,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.3,32.3859,32.4419,32.3487,32.33,27,0.71,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,253,253997,1977,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.3,32.3859,32.4419,32.3487,32.33,45,0.71,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,255,255004,1977,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.3,32.3859,32.4419,32.3487,32.33,45,0.71,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,256,256011,1977,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.3,32.3859,32.4419,32.3487,32.33,45,0.71,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,257,257019,1977,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.3,32.3176,32.3859,32.2741,32.2244,45,0.71,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,257,257995,1977,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.55,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.3,32.3176,32.3859,32.2741,32.2244,45,0.71,0,0,-0.01,-0.06,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,280,280090,1966,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.24,32,0.56,0,0,748.39,762.68,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.3,32.3176,32.3859,32.2741,32.2244,45,0.71,0,0,-0.01,-0.06,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,300,300079,1966,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.57,32,0.56,0,0,748.39,762.9,18,9,27,27,-22,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.2,32.3176,32.3859,32.2741,32.2244,45,0.71,0,0,-0.01,-0.06,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,300,300994,1966,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.57,32,0.56,0,0,748.39,762.9,18,9,27,27,-22,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.2,32.3176,32.3859,32.2741,32.2244,56,0.71,0,0,-0.01,-0.06,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,302,302001,1966,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.57,32,0.56,0,0,748.39,762.9,18,9,27,27,-22,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.2,32.3176,32.3859,32.2741,32.2244,56,0.71,0,0,-0.01,-0.06,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,303,303009,1966,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.57,32,0.56,0,0,748.39,762.9,18,9,27,27,-22,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.2,32.3176,32.3859,32.2741,32.2244,56,0.71,0,0,-0.01,-0.06,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,304,304016,1966,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.57,32,0.56,0,0,748.39,762.9,18,9,27,27,-22,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.2,32.33,32.3052,32.2057,32.212,56,0.71,0,0,-0.01,-0.06,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,304,304992,1966,31.69,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.44,82,12,0,111.2,95.0,181.4,167.0,14.21,4.57,32,0.56,0,0,748.39,762.9,18,9,27,27,-22,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.2,32.33,32.3052,32.2057,32.212,56,0.71,0,0,-0.03,-0.075,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,340,340026,1966,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.38,82,12,0,111.2,95.0,181.4,167.0,14.21,4.57,32,0.55,0,0,748.39,762.9,18,9,27,27,-22,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.2,32.33,32.3052,32.2057,32.212,56,0.71,0,0,-0.03,-0.075,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,362,362060,1966,32.3114,4,0,-23.3,14.09,-22.9,0,4,1.33,0,5.38,82,12,0,111.2,95.0,181.4,167.0,14.21,4.57,32,0.55,0,0,748.39,763.84,18,9,27,27,-22,-21,8.22,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1058.0,32.33,32.3052,32.2057,32.212,56,0.71,0,0,-0.03,-0.075,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
