frame,time_ms,time_us,rpm,vss,gear,ptank,map,bp,bp_cmd,tpedal,tplate,afm_v,afm_hz,afm,afm_c,airc,egr,iat,iat2,ect,ect2,pa,oil_press,cvt_temp,inj,inj_bank_2,duty,difp,difpcmd,fuelp,ign,cam,camcmd,excam,excamcmd,wg,wgcmd,vts,svs,purge,accl,bc_duty,af,af_bank_2,af_corr,wide_v,wide,afcmd,afcmd_bank_2,s_trim,l_trim,s_trim_bank_2,l_trim_bank_2,trim,fuel_status,fuel_status_bank_2,ethanol,k_level,k_retard,k_retard_1,k_retard_2,k_retard_3,k_retard_4,k_control,ign_limit,k_count,k_count_1,k_count_2,k_count_3,k_count_4,k_count_5,k_count_6,bat,cat_t,abs_lf,abs_rf,abs_lr,abs_rr,clutch_pos,brake_press,steer_ang,steer_trq,g_lat,g_long,g_z,yaw,eco,fuel_used,tc_v,tc_ecuslip,tc_r,tc_lf,tc_rf,tc_lr,tc_rr,tc_slip,tc_turn,tc_overslip,tc_out
100010,789520,789520172,3038,75.8075,6,0,-22.7,14.2,-22,2,6,1.6,0,9.61,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.46,0,1,2063.89,1969.98,16,19,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.7,76.4102,76.317,76.0622,75.9504,0,0.47,1,0,0.01,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100011,789521,789521362,3038,75.8075,6,0,-22.7,14.2,-22,2,6,1.6,0,9.61,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.46,0,1,2063.89,1969.98,16,19,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.7,76.4102,76.317,76.0622,75.9504,0,0.47,1,0,0.01,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100012,789522,789522338,3038,75.8075,6,0,-22.7,14.2,-22,2,6,1.6,0,9.61,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.46,0,1,2063.89,1969.98,16,19,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.7,76.4102,76.317,76.0622,75.9504,0,0.47,0,0,0.01,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100013,789523,789523345,3038,75.8075,6,0,-22.7,14.2,-22,2,6,1.6,0,9.61,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.46,0,1,2063.89,1969.98,16,19,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.7,76.4102,76.317,76.0622,75.9504,0,0.47,0,0,0.01,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100014,789524,789524353,3038,75.8075,6,0,-22.7,14.2,-22,2,6,1.6,0,9.61,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.46,0,1,2063.89,1969.98,16,19,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.7,76.2735,76.317,76.0374,75.9255,0,0.47,0,0,0.01,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100015,789525,789525360,3038,75.8075,6,0,-22.7,14.2,-22,2,6,1.6,0,9.61,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.46,0,1,2063.89,1969.98,16,19,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.7,76.2735,76.317,76.0374,75.9255,0,0.47,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100016,789550,789550170,3028,75.8075,6,0,-22.8,14.2,-22,2,6,1.6,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.47,0,1,2063.89,1969.98,15,21,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.7,76.2735,76.317,76.0374,75.9255,0,0.47,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100017,789580,789580200,3028,75.8075,6,0,-22.8,14.2,-22,2,6,1.6,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.47,0,1,2063.89,1888.75,15,21,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.1,76.2735,76.317,76.0374,75.9255,0,0.47,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100018,789581,789581359,3028,75.8075,6,0,-22.8,14.2,-22,2,6,1.6,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.47,0,1,2063.89,1888.75,15,21,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.1,76.2735,76.317,76.0374,75.9255,0,0.47,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100019,789582,789582366,3028,75.8075,6,0,-22.8,14.2,-22,2,6,1.6,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.47,0,1,2063.89,1888.75,15,21,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.1,76.2735,76.317,76.0374,75.9255,0,0.47,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
